frame,time_s,transfer_ratio,authority_gap,rate_clip_delta,jerk_clip_delta,hard_clip_delta,smoothing_delta,first_stage,entry_schedule_active,commit_active,entry_assist_active
197,13.243,0.278139,0.454090,0.219374,0.234057,0.000000,0.000659,1.0,0,0,0
198,13.276,0.287829,0.447905,0.213305,0.233926,0.000000,0.000673,1.0,0,0,0
199,13.343,0.288685,0.461290,0.226806,0.233796,0.000000,0.000688,1.0,0,0,0
200,13.376,0.298532,0.454752,0.220385,0.233665,0.000000,0.000702,1.0,0,0,0
201,13.443,0.252342,0.592530,0.360339,0.231474,0.000000,0.000717,1.0,0,0,0
202,13.476,1.000000,0.000000,0.000000,0.183497,0.000000,0.000705,2.0,0,0,0
203,13.543,0.297692,0.502000,0.286202,0.215080,0.000000,0.000717,1.0,0,0,0
204,13.776,0.281799,0.559086,0.324951,0.233404,0.000000,0.000731,1.0,0,0,0
205,13.809,0.335595,0.447590,0.242050,0.204794,0.000000,0.000746,1.0,0,0,0
206,13.876,1.000000,0.000000,0.155451,0.246596,0.000000,0.000734,1.0,0,0,0
207,13.909,0.534428,0.208558,0.000000,0.207812,0.000000,0.000746,2.0,0,0,0
208,13.976,0.354394,0.448592,0.214690,0.233142,0.000000,0.000760,1.0,0,0,0
209,14.009,0.347773,0.474900,0.267101,0.207024,0.000000,0.000775,1.0,0,0,0
210,14.043,0.439869,0.331499,0.097829,0.232881,0.000000,0.000789,1.0,0,0,0
211,14.076,0.618729,0.164875,0.000000,0.164071,0.000000,0.000804,2.0,0,0,0
212,14.109,0.442206,0.346790,0.113352,0.232620,0.000000,0.000818,1.0,0,0,0
213,14.176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
214,14.209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
215,14.276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
216,14.309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
217,14.343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
218,14.409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
219,14.443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
